DATI_2020;DATI_2021;DATI_2022;;;;;;;;;
0;8.8;0.2;;;;;;;;;
0;4.4;0;;;;;;;;;
0;0;0;;;;;;;;;
0;2.4;0;;;;;;;;;
0;13.4;24.0;;;;;;;;;
0;0;5.4;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0.2;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
11.6;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0.2;0;;;;;;;;;
0;6.6;0;;;;;;;;;
0;3.2;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0.8;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0.6;0;0;;;;;;;;;
0.2;0;0;;;;;;;;;
0.2;3.4;0;;;;;;;;;
0;15.8;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0.4;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;1.2;0;;;;;;;;;
0;0.6;0;;;;;;;;;
0;3.4;0;;;;;;;;;
0.8;13.0;0;;;;;;;;;
0;0.8;0;;;;;;;;;
0.2;0;0;;;;;;;;;
0.6;0;0;;;;;;;;;
3.2;0;0;;;;;;;;;
0;0;8.0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0.2;;;;;;;;;
0;0;0;;;;;;;;;
0.4;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0.2;0;;;;;;;;;
0;0;2.0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
16.2;0;0;;;;;;;;;
15.6;0;1.0;;;;;;;;;
0;0;0;;;;;;;;;
0.6;0;0;;;;;;;;;
6.4;3.8;0;;;;;;;;;
15.8;0;0;;;;;;;;;
0.4;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0.2;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;2.6;0;;;;;;;;;
0;1.2;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0.2;;;;;;;;;
2.2;0;16.6;;;;;;;;;
0;0;4.2;;;;;;;;;
0;0;4.4;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;7.2;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;10.2;;;;;;;;;
0;0;0;;;;;;;;;
0;20.0;0;;;;;;;;;
0;25.4;0;;;;;;;;;
0;6.6;0;;;;;;;;;
0;0;0;;;;;;;;;
0;1.6;0;;;;;;;;;
0;0;0.6;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0.4;0;4.4;;;;;;;;;
0;0;17.2;;;;;;;;;
0;0;0.8;;;;;;;;;
0;0;2.2;;;;;;;;;
0;0;0;;;;;;;;;
0;0;6.0;;;;;;;;;
0;0.4;0;;;;;;;;;
0.4;0;0;;;;;;;;;
2.0;6.6;0;;;;;;;;;
13.0;0;0;;;;;;;;;
2.2;14.2;0;;;;;;;;;
0.2;0;0;;;;;;;;;
0;0.8;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;11.6;;;;;;;;;
0;0;12.0;;;;;;;;;
0;0;2.0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;6.8;0;;;;;;;;;
5.8;5.6;0;;;;;;;;;
0;9.0;0;;;;;;;;;
0;0.4;0;;;;;;;;;
0;0;0;;;;;;;;;
10.0;3.0;27.4;;;;;;;;;
1.4;6.6;0.2;;;;;;;;;
0;0.4;2.6;;;;;;;;;
0;4.2;0;;;;;;;;;
4.4;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0.2;0;;;;;;;;;
0;0;0;;;;;;;;;
3.8;27.6;0;;;;;;;;;
0;0.4;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;4.0;;;;;;;;;
14.8;0;0;;;;;;;;;
0.2;0;0;;;;;;;;;
0;1.0;0.4;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0.4;;;;;;;;;
1.6;0;0;;;;;;;;;
39.4;0;0;;;;;;;;;
1.4;11.2;0;;;;;;;;;
0;0;1.0;;;;;;;;;
2.0;0;0.2;;;;;;;;;
35.4;0;2.4;;;;;;;;;
6.6;2.0;0;;;;;;;;;
11.2;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0.2;0;0;;;;;;;;;
0.4;0;0;;;;;;;;;
0.2;0;0.6;;;;;;;;;
0;0.2;0;;;;;;;;;
0.8;0;0;;;;;;;;;
15.6;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
5.4;0;0;;;;;;;;;
0.6;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;2.0;;;;;;;;;
0;0.6;8.2;;;;;;;;;
0;0;0;;;;;;;;;
0;0.8;0;;;;;;;;;
0.2;0.4;0;;;;;;;;;
12.0;0.2;0;;;;;;;;;
2.8;42.4;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0.6;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
3.6;0;0;;;;;;;;;
0;0.2;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;1.0;0;;;;;;;;;
0.2;0;0;;;;;;;;;
2.0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;3.8;0;;;;;;;;;
0;0;0;;;;;;;;;
1.8;0;0;;;;;;;;;
6.4;0;0;;;;;;;;;
0.2;0;0;;;;;;;;;
0;4.2;0.6;;;;;;;;;
0;0.2;0;;;;;;;;;
0;0;1.8;;;;;;;;;
0;0;1.6;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;3.4;2.6;;;;;;;;;
0;0;0;;;;;;;;;
37.6;0;0;;;;;;;;;
15.8;0;0;;;;;;;;;
0;0;0.4;;;;;;;;;
0;0;1.6;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0.6;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
5.4;0;35.0;;;;;;;;;
0;2.0;6.0;;;;;;;;;
0;0;1.4;;;;;;;;;
0;0;29.0;;;;;;;;;
0;0;6.0;;;;;;;;;
1.0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;3.6;0;;;;;;;;;
5.8;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;3.6;0;;;;;;;;;
0;0;0;;;;;;;;;
0.4;0.4;0;;;;;;;;;
0;10.2;0;;;;;;;;;
5.2;0;25.2;;;;;;;;;
17.0;0;0;;;;;;;;;
1.6;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
93.2;0;0;;;;;;;;;
0;0;0.2;;;;;;;;;
0;0;0;;;;;;;;;
0;0;10.8;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;1.6;14.2;;;;;;;;;
0;5.0;21.8;;;;;;;;;
0;0;0;;;;;;;;;
0;0.6;0;;;;;;;;;
0;0;0.4;;;;;;;;;
0;0;1.0;;;;;;;;;
1.8;0;0;;;;;;;;;
18.4;0;0;;;;;;;;;
1.0;0;8.6;;;;;;;;;
0.2;0;5.0;;;;;;;;;
1.6;3.8;0;;;;;;;;;
4.0;0;6.4;;;;;;;;;
1.8;0;0;;;;;;;;;
5.8;0;1.8;;;;;;;;;
0.2;0;7.4;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
2.0;0;0;;;;;;;;;
1.4;0;0;;;;;;;;;
5.2;7.0;0;;;;;;;;;
11.2;6.2;0;;;;;;;;;
0;0.6;0;;;;;;;;;
4.8;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
42.0;0;0;;;;;;;;;
1.0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
2.8;0;0;;;;;;;;;
18.4;0;0;;;;;;;;;
0.4;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
1.4;0;0;;;;;;;;;
0.2;0;1.0;;;;;;;;;
0;0;0;;;;;;;;;
1.8;0;0;;;;;;;;;
9.4;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;29.8;0.2;;;;;;;;;
0.2;0;7.4;;;;;;;;;
0;2.6;2.0;;;;;;;;;
0;1.0;6.4;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0.6;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;3.0;;;;;;;;;
0;0;0;;;;;;;;;
0.2;0;0;;;;;;;;;
0;3.8;11.2;;;;;;;;;
0;5.6;0;;;;;;;;;
0;0;0.6;;;;;;;;;
0;2.2;3.4;;;;;;;;;
10.4;0;0.6;;;;;;;;;
0;0;3.0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0.2;0;0.6;;;;;;;;;
0;5.4;71.6;;;;;;;;;
0;0.2;0.2;;;;;;;;;
0;0;0;;;;;;;;;
0;3.4;0;;;;;;;;;
0;11.0;0;;;;;;;;;
0;4.2;0;;;;;;;;;
0;4.6;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0.2;0;;;;;;;;;
0.4;11.4;9.0;;;;;;;;;
14.2;0;13.2;;;;;;;;;
0.8;0;11.4;;;;;;;;;
6.2;1.6;8.6;;;;;;;;;
3.2;0;0;;;;;;;;;
10.4;0;0;;;;;;;;;
0.2;23.4;0.2;;;;;;;;;
29.8;1.4;23.4;;;;;;;;;
6.6;0;0.4;;;;;;;;;
0;0;11.2;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;19.8;;;;;;;;;
0;0;2.0;;;;;;;;;
1.2;0;0.2;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0.6;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0;0;0;;;;;;;;;
0.4;7.8;0;;;;;;;;;
8.0;0.4;0;;;;;;;;;
0;0.2;0;;;;;;;;;
0;0.2;0;;;;;;;;;
11.4;0;0.6;;;;;;;;;
0.8;0;1.0;;;;;;;;;
1.8;0.2;0;;;;;;;;;
0.8;NA;NA;;;;;;;;;